Compa,NAICS,Latit,Longi
TOWER LOAN,CONSUMER LENDING,33.397835,-86.802693
ALEISHA GREENHAW-TOMIK,CONSUMER LENDING,34.343637,-86.304247
WORLD FINANCE,CONSUMER LENDING,32.521836,-86.207441
FARM CREDIT SVC,CONSUMER LENDING,34.118349,-93.086401
REGIONAL FINANCE CORP,CONSUMER LENDING,30.8876,-87.7892
SAYCO LOAN & PROPERTY SVC,CONSUMER LENDING,33.419142,-86.696014
A GREAT AMERICAN CASH ADVANCE,CONSUMER LENDING,32.384692,-86.253485
FUNERAL FUNDING CTR INC,CONSUMER LENDING,33.962991,-86.039671
GREYSTONE & CO LLC,CONSUMER LENDING,33.376128,-86.809448
REGIONAL FINANCE CORP,CONSUMER LENDING,33.366769,-86.797322
C & J FINANCIAL LLC,CONSUMER LENDING,33.962991,-86.039671
SMART WORK ETHICS,CONSUMER LENDING,30.532563,-87.853071
CHECK INTO CASH,CONSUMER LENDING,33.354123,-86.795533
ADVANCE AMERICA,CONSUMER LENDING,33.466055,-86.821296
ONEMAIN FINANCIAL,CONSUMER LENDING,31.123865,-87.068153
ALL STAR BAIL BONDS,CONSUMER LENDING,30.74072,-87.793627
ADVANCE AMERICA,CONSUMER LENDING,31.107739,-87.068401
REGIONAL FINANCE CORP,CONSUMER LENDING,31.22593,-85.431019
AMG FINANCE LLC,CONSUMER LENDING,35.246899,-91.768474
REPUBLIC FINANCE INC,CONSUMER LENDING,32.344667,-86.222842
ALABAMA COUNCIL ON,CONSUMER LENDING,32.3782,-86.2997
MONEY MART,CONSUMER LENDING,33.640266,-112.014265
SERVICE LOANS CO,CONSUMER LENDING,32.831144,-86.62645
CHECK INTO CASH,CONSUMER LENDING,33.358465,-86.998805
EASYMONEY CASH CENTERS,CONSUMER LENDING,32.383852,-86.264989
WELLS FARGO EQUIPMENT FINANCE,CONSUMER LENDING,61.196053,-149.887954
TITLE MAX,CONSUMER LENDING,33.493401,-86.881556
AMERICAN TITLE PAWN,CONSUMER LENDING,33.449844,-86.924988
WALKER COUNTY FINANCE & INS,CONSUMER LENDING,33.841129,-87.247437
COVINGTON CREDIT CORP,CONSUMER LENDING,30.603111,-88.163841
UNIVERSAL FINANCING CORP,CONSUMER LENDING,61.174252,-149.897092
