tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086017100,,,,,,,2,1,3,8,9,13,14,50
12086017200,,,,,,,,,1,6,6,12,7,32
12086017300,,,,,,1,,,4,3,7,9,14,38
12086017400,,,,,,,,,2,4,8,12,30,56
12086017500,,,,,,,2,1,,2,1,8,12,26
12086017600,2,,,,,,,,,4,7,3,5,21
12086017700,,,,,,,,,4,,5,5,5,19
12086017800,2,,,,,,,,5,3,8,10,8,36
12086017900,,,,,,,1,,1,5,11,12,15,45
12086018000,,,,,,1,1,,3,4,6,6,15,36
12086018100,,,,,,1,1,,,,4,5,15,26
12086018200,,,,,,,,1,2,2,2,1,3,11
12086018300,,,,,,,1,2,1,2,3,6,9,24
12086018400,,,,,,,1,,2,6,5,3,6,23
12086018500,1,,,,,1,,1,,2,6,4,7,22
12086018600,,,,,,,,1,1,6,5,16,16,45
12086018700,,,,,,,,,,5,2,6,11,24
12086018800,,,,,,,,,3,7,6,12,19,47
12086018900,,,,,,,1,,2,5,8,11,13,40
12086019000,,,,,1,,,1,1,4,11,10,19,47
12086019100,1,,,,,,,,1,6,2,13,10,33
12086019200,,,,,,,,,3,5,5,7,10,30
12086019300,,,,,,,2,2,1,3,2,1,8,19
12086019400,,,,,,,2,,1,4,2,9,4,22
12086019500,,,,,,,,1,1,7,7,11,15,42
12086019600,,,,1,,2,1,2,2,4,4,6,12,34
12086019700,,,,,,,,,2,4,5,12,8,31
12086019800,,,,,,,,1,3,5,9,18,15,51
12086019900,1,,,,,,1,,4,3,8,14,21,52
12086020000,,,,,1,2,,1,3,7,6,13,12,45
12086020100,,,,,,1,2,1,,2,3,6,8,23
12086020200,,,,,,1,1,,2,4,3,4,7,22
12086020300,,,,,,,,,2,1,2,4,5,14
12086490100,,,,,,,,,2,2,2,6,5,17
12086980300,,,,,,2,,,,,,,,2
12086980700,,,,,,,,,,1,2,2,,5
Total,153,16,17,15,84,188,306,424,"1,082","2,145","3,045","4,814","6,776","19,065"
,153,16,17,15,84,188,306,424,"1,082","2,145","3,045","4,814","6,776","19,065"
